origin,cylinders,displacement,horsepower,weight,acceleration,year,name,Kilometer_per_liter
1,6,225.0,100,3651,17.7,1976,dodge aspen se,8.502874148605441
1,6,250.0,78,3574,21.0,1976,ford granada ghia,7.652586733744896
1,6,250.0,110,3645,16.2,1976,pontiac ventura sj,7.865158587460033
1,6,258.0,95,3193,17.8,1976,amc pacer d/l,7.440014880029761
2,4,97.0,71,1825,12.2,1976,volkswagen rabbit,12.541739369193024
3,4,85.0,70,1990,17.0,1976,datsun b-210,13.604598637768705
3,4,97.0,75,2155,16.4,1976,toyota corolla,11.904023808047617
1,4,140.0,72,2565,13.6,1976,ford pinto,11.26630824690221
2,4,130.0,102,3150,15.7,1976,volvo 245,8.502874148605441
1,8,318.0,150,3940,13.2,1976,plymouth volare premier v8,5.5268681965935365
2,4,120.0,88,3270,21.9,1976,peugeot 504,8.077730441175168
3,6,156.0,108,2930,15.5,1976,toyota mark ii,8.077730441175168
2,6,168.0,120,3820,16.7,1976,mercedes-benz 280s,7.014871172599489
1,8,350.0,180,4380,12.1,1976,cadillac seville,7.014871172599489
1,8,350.0,145,4055,12.0,1976,chevy c10,5.5268681965935365
1,8,302.0,130,3870,15.0,1976,ford f108,5.5268681965935365
1,8,318.0,150,3755,14.0,1976,dodge d100,5.5268681965935365
3,4,98.0,68,2045,18.5,1977,honda accord cvcc,13.392026784053568
1,4,111.0,80,2155,14.8,1977,buick opel isuzu deluxe,12.75431122290816
2,4,79.0,58,1825,18.6,1977,renault 5 gtl,15.305173467489793
1,4,122.0,96,2300,15.5,1977,plymouth arrow gs,10.841164539471936
3,4,85.0,70,1945,16.8,1977,datsun f-10 hatchback,14.242314198914112
1,8,305.0,145,3880,12.5,1977,chevrolet caprice classic,7.440014880029761
1,8,260.0,110,4060,19.0,1977,oldsmobile cutlass supreme,7.227443026314624
1,8,318.0,145,4140,13.7,1977,dodge monaco brougham,6.589727465169216
1,8,302.0,130,4295,14.9,1977,mercury cougar brougham,6.37715561145408
1,6,250.0,110,3520,16.4,1977,chevrolet concours,7.440014880029761
1,6,231.0,105,3425,16.9,1977,buick skylark,8.715446002320576
1,6,225.0,100,3630,17.7,1977,plymouth volare custom,8.077730441175168
1,6,250.0,98,3525,19.0,1977,ford granada,7.865158587460033
1,8,400.0,180,4220,11.1,1977,pontiac grand prix lj,6.802299318884352
1,8,350.0,170,4165,11.4,1977,chevrolet monte carlo landau,6.589727465169216
1,8,400.0,190,4325,12.2,1977,chrysler cordoba,6.589727465169216
1,8,351.0,149,4335,14.5,1977,ford thunderbird,6.802299318884352
2,4,97.0,78,1940,14.5,1977,volkswagen rabbit custom,12.329167515477888
1,4,151.0,88,2740,16.0,1977,pontiac sunbird coupe,10.416020832041665
3,4,97.0,75,2265,18.2,1977,toyota corolla liftback,11.053736393187073
1,4,140.0,89,2755,15.8,1977,ford mustang ii 2+2,10.841164539471936
1,4,98.0,63,2051,17.0,1977,chevrolet chevette,12.966883076623297
1,4,98.0,83,2075,15.9,1977,dodge colt m/m,14.242314198914112
3,4,97.0,67,1985,16.4,1977,subaru dl,12.75431122290816
2,4,97.0,78,2190,14.1,1977,volkswagen dasher,12.966883076623297
3,6,146.0,97,2815,14.5,1977,datsun 810,9.353161563465985
2,4,121.0,110,2600,12.8,1977,bmw 320i,9.140589709750849
3,3,80.0,110,2720,13.5,1977,mazda rx-4,9.140589709750849
2,4,90.0,48,1985,21.5,1978,volkswagen rabbit custom diesel,18.323693790244725
1,4,98.0,66,1800,14.4,1978,ford fiesta,15.34768783823282
3,4,78.0,52,1985,19.4,1978,mazda glc deluxe,13.944713603712922
3,4,85.0,70,2070,18.6,1978,datsun b210 gx,16.750662072752718
3,4,91.0,60,1800,16.4,1978,honda civic cvcc,15.34768783823282
1,8,260.0,110,3365,15.5,1978,oldsmobile cutlass salon brougham,8.460359777862413
1,8,318.0,140,3735,13.2,1978,dodge diplomat,8.247787924147277
1,8,302.0,139,3570,12.8,1978,mercury monarch ghia,8.587902890091495
1,6,231.0,105,3535,19.2,1978,pontiac phoenix lj,8.162759182661222
1,6,200.0,95,3155,18.2,1978,chevrolet malibu,8.715446002320576
1,6,200.0,85,2965,15.8,1978,ford fairmont (auto),8.587902890091495
1,4,140.0,88,2720,15.4,1978,ford fairmont (man),10.671107056499828
1,6,225.0,100,3430,17.2,1978,plymouth volare,8.715446002320576
1,6,232.0,90,3210,17.2,1978,amc concord,8.247787924147277
1,6,231.0,105,3380,15.8,1978,buick century special,8.757960373063604
1,6,200.0,85,3070,16.7,1978,mercury zephyr,8.842989114549658
1,6,225.0,110,3620,18.7,1978,dodge aspen,7.90767295820306
1,6,258.0,120,3410,15.1,1978,amc concord d/l,7.695101104487924
1,8,305.0,145,3425,13.2,1978,chevrolet monte carlo landau,8.162759182661222
1,6,231.0,165,3445,13.4,1978,buick regal sport coupe (turbo),7.525043621515814
1,8,302.0,139,3205,11.2,1978,ford futura,7.695101104487924
1,8,318.0,140,4080,13.7,1978,dodge magnum xe,7.440014880029761
1,4,98.0,68,2155,16.5,1978,chevrolet chevette,12.75431122290816
3,4,134.0,95,2560,14.2,1978,toyota corona,11.69145195433248
3,4,119.0,97,2300,14.7,1978,datsun 510,11.563908842103398
1,4,105.0,75,2230,14.5,1978,dodge omni,13.136940559595406
3,4,134.0,95,2515,14.8,1978,toyota celica gt liftback,8.97053222677874
1,4,156.0,105,2745,16.7,1978,plymouth sapporo,9.86333401238231
1,4,151.0,85,2855,17.6,1978,oldsmobile starfire sx,10.118420236840475
3,4,119.0,97,2405,14.9,1978,datsun 200-sx,10.160934607583501
2,5,131.0,103,2830,15.9,1978,audi 5000,8.630417260834522
2,6,163.0,125,3140,13.6,1978,volvo 264gl,7.227443026314624
2,4,121.0,115,2795,15.7,1978,saab 99gle,9.183104080493877
2,6,163.0,133,3410,15.8,1978,peugeot 604sl,6.887328060370407
2,4,89.0,71,1990,14.9,1978,volkswagen scirocco,13.392026784053568
3,4,98.0,68,2135,16.6,1978,honda accord lx,12.541739369193024
1,6,231.0,115,3245,15.4,1979,pontiac lemans v6,9.140589709750849
1,6,200.0,85,2990,18.2,1979,mercury zephyr 6,8.417845407119387
1,4,140.0,88,2890,17.3,1979,ford fairmont 4,9.480704675695067
1,6,232.0,90,3265,18.2,1979,amc concord dl 6,8.587902890091495
1,6,225.0,110,3360,16.6,1979,dodge aspen 6,8.757960373063604
1,8,305.0,130,3840,15.4,1979,chevrolet caprice classic,7.227443026314624
1,8,302.0,129,3725,13.4,1979,ford ltd landau,7.482529250772788
1,8,351.0,138,3955,13.2,1979,mercury grand marquis,7.014871172599489
1,8,318.0,135,3830,15.2,1979,dodge st. regis,7.7376154752309505
1,8,350.0,155,4360,14.9,1979,buick estate wagon (sw),7.184928655571596
1,8,351.0,142,4054,14.3,1979,ford country squire (sw),6.589727465169216
1,8,267.0,125,3605,15.0,1979,chevrolet malibu classic (sw),8.162759182661222
1,8,360.0,150,3940,13.0,1979,chrysler lebaron town @ country (sw),7.865158587460033
2,4,89.0,71,1925,14.0,1979,vw rabbit custom,13.562084267025677
3,4,86.0,65,1975,15.2,1979,maxda glc deluxe,14.497400423372277
1,4,98.0,80,1915,14.4,1979,dodge colt hatchback custom,15.177630355260712
1,4,121.0,80,2670,15.0,1979,amc spirit dl,11.648937583589452
2,5,183.0,77,3530,20.1,1979,mercedes benz 300d,10.798650168728908
1,8,350.0,125,3900,17.4,1979,cadillac eldorado,9.778305270896256
2,4,141.0,71,3190,24.8,1979,peugeot 504,11.563908842103398
1,8,260.0,90,3420,22.2,1979,oldsmobile cutlass salon brougham,10.160934607583501
1,4,105.0,70,2200,13.2,1979,plymouth horizon,14.539914794115305
1,4,105.0,70,2150,14.9,1979,plymouth horizon tc3,14.667457906344385
3,4,85.0,65,2020,19.2,1979,datsun 210,13.51956989628265
2,4,91.0,69,2130,14.7,1979,fiat strada custom,15.857860287149146
1,4,151.0,90,2670,16.0,1979,buick skylark limited,12.074081291019725
1,6,173.0,115,2595,11.3,1979,chevrolet citation,12.244138773991834
1,6,173.0,115,2700,12.9,1979,oldsmobile omega brougham,11.39385135913129
1,4,151.0,90,2556,13.2,1979,pontiac phoenix,14.242314198914112
2,4,98.0,76,2144,14.7,1980,vw rabbit,17.643463858356288
3,4,89.0,60,1968,18.8,1980,toyota corolla tercel,16.197975253093365
1,4,98.0,70,2120,15.5,1980,chevrolet chevette,13.647113008511733
3,4,86.0,65,2019,16.4,1980,datsun 310,15.81534591640612
1,4,151.0,90,2678,16.5,1980,chevrolet citation,11.904023808047617
1,4,140.0,88,2870,18.1,1980,ford fairmont,11.223793876159181
1,4,151.0,90,3003,20.1,1980,amc concord,10.330992090555611
1,6,225.0,90,3381,18.7,1980,dodge aspen,8.120244811918196
2,4,97.0,78,2188,15.8,1980,audi 4000,14.582429164858329
3,4,134.0,90,2711,15.5,1980,toyota corona liftback,12.669282481422107
3,4,120.0,75,2542,17.5,1980,mazda 626,13.306998042567514
3,4,119.0,92,2434,15.0,1980,datsun 510 hatchback,15.730317174920065
3,4,108.0,75,2265,15.2,1980,toyota corolla,13.68962737925476
3,4,86.0,65,2110,17.9,1980,mazda glc,19.811696766250677
1,4,156.0,105,2800,14.4,1980,dodge colt,11.861509437304589
3,4,85.0,65,2110,19.2,1980,datsun 210,17.345863263155096
2,4,90.0,48,2085,21.7,1980,vw rabbit c (diesel),18.83386623916105
2,4,90.0,48,2335,23.7,1980,vw dasher (diesel),18.451236902473806
2,5,121.0,67,2950,19.9,1980,audi 5000s (diesel),15.475230950461901
2,4,146.0,67,3250,21.8,1980,mercedes-benz 240d,12.75431122290816
3,4,91.0,67,1850,13.8,1980,honda civic 1500 gl,18.961409351390135
2,4,85.0,?,1835,17.3,1980,renault lecar deluxe,17.388377633898124
3,4,97.0,67,2145,18.0,1980,subaru dl,14.369857311143193
2,4,89.0,62,1845,15.3,1980,vokswagen rabbit,12.669282481422107
3,6,168.0,132,2910,11.4,1980,datsun 280-zx,13.902199232969897
3,3,70.0,100,2420,12.5,1980,mazda rx-7 gs,10.075905866097447
2,4,122.0,88,2500,15.1,1980,triumph tr7 coupe,14.880029760059521
1,4,140.0,?,2905,14.3,1980,ford mustang cobra,10.03339149535442
3,4,107.0,72,2290,17.0,1980,honda accord,13.774656120740813
1,4,135.0,84,2490,15.7,1981,plymouth reliant,11.563908842103398
1,4,151.0,84,2635,16.4,1981,buick skylark,11.308822617645236
1,4,156.0,92,2620,14.4,1981,dodge aries wagon (sw),10.968707651701019
1,6,173.0,110,2725,12.6,1981,chevrolet citation,9.990877124611393
1,4,135.0,84,2385,12.9,1981,plymouth reliant,12.75431122290816
3,4,79.0,58,1755,16.9,1981,toyota starlet,16.623118960523637
1,4,86.0,64,1875,16.4,1981,plymouth champ,16.58060458978061
3,4,81.0,60,1760,16.1,1981,honda civic 1300,14.922544130802548
3,4,97.0,67,2065,17.8,1981,subaru,13.732141749997785
3,4,85.0,65,1975,19.4,1981,datsun 210 mpg,15.730317174920065
3,4,89.0,62,2050,17.3,1981,toyota tercel,16.027917770121256
3,4,91.0,68,1985,16.0,1981,mazda glc 4,14.497400423372277
1,4,105.0,63,2215,14.9,1981,plymouth horizon 4,14.752486647830441
1,4,98.0,65,2045,16.2,1981,ford escort 4w,14.624943535601357
1,4,98.0,65,2380,20.7,1981,ford escort 2h,12.711796852165133
2,4,105.0,74,2190,14.2,1981,volkswagen jetta,14.029742345198978
2,4,100.0,?,2320,15.8,1981,renault 18i,14.667457906344385
3,4,107.0,75,2210,14.4,1981,honda prelude,14.327342940400168
3,4,108.0,75,2350,16.8,1981,toyota corolla,13.774656120740813
3,4,119.0,100,2615,14.8,1981,datsun 200sx,13.98722797445595
3,4,120.0,74,2635,18.3,1981,mazda 626,13.434541154796596
2,4,141.0,80,3230,20.4,1981,peugeot 505s turbo diesel,11.946538178790645
2,6,145.0,76,3160,19.6,1981,volvo diesel,13.051911818109351
3,6,168.0,116,2900,12.6,1981,toyota cressida,10.798650168728908
3,6,146.0,120,2930,13.8,1981,datsun 810 maxima,10.288477719812583
1,6,231.0,110,3415,15.8,1981,buick century,9.523219046438093
1,8,350.0,105,3725,19.0,1981,oldsmobile cutlass ls,11.308822617645236
1,6,200.0,88,3060,17.1,1981,ford granada gl,8.587902890091495
1,6,225.0,85,3465,16.6,1981,chrysler lebaron salon,7.482529250772788
1,4,112.0,88,2605,19.6,1982,chevrolet cavalier,11.904023808047617
1,4,112.0,88,2640,18.6,1982,chevrolet cavalier wagon,11.478880100617344
1,4,112.0,88,2395,18.0,1982,chevrolet cavalier 2-door,14.454886052629249
1,4,112.0,85,2575,16.2,1982,pontiac j2000 se hatchback,13.179454930338432
1,4,135.0,84,2525,16.0,1982,dodge aries se,12.329167515477888
1,4,151.0,90,2735,18.0,1982,pontiac phoenix,11.478880100617344
1,4,140.0,92,2865,16.4,1982,ford fairmont futura,10.203448978326529
1,4,151.0,?,3035,20.5,1982,amc concord dl,9.778305270896256
2,4,105.0,74,1980,15.3,1982,volkswagen rabbit l,15.305173467489793
3,4,91.0,68,2025,18.2,1982,mazda glc custom l,15.730317174920065
3,4,91.0,68,1970,17.6,1982,mazda glc custom,13.179454930338432
1,4,105.0,63,2125,14.7,1982,plymouth horizon miser,16.155460882350337
1,4,98.0,70,2125,17.3,1982,mercury lynx l,15.305173467489793
3,4,120.0,88,2160,14.5,1982,nissan stanza xe,15.305173467489793
3,4,107.0,75,2205,14.5,1982,honda accord,15.305173467489793
3,4,108.0,70,2245,16.9,1982,toyota corolla,14.454886052629249
3,4,91.0,67,1965,15.0,1982,honda civic,16.155460882350337
3,4,91.0,67,1965,15.7,1982,honda civic (auto),13.604598637768705
3,4,91.0,67,1995,16.2,1982,datsun 310 gx,16.155460882350337
1,6,181.0,110,2945,16.4,1982,buick century limited,10.6285926857568
1,6,262.0,85,3015,17.0,1982,oldsmobile cutlass ciera (diesel),16.155460882350337
1,4,156.0,92,2585,14.5,1982,chrysler lebaron medallion,11.053736393187073
1,6,232.0,112,2835,14.7,1982,ford granada l,9.353161563465985
3,4,144.0,96,2665,13.9,1982,toyota celica gt,13.604598637768705
1,4,135.0,84,2370,13.0,1982,dodge charger 2.2,15.305173467489793
1,4,151.0,90,2950,17.3,1982,chevrolet camaro,11.478880100617344
1,4,140.0,86,2790,15.6,1982,ford mustang gl,11.478880100617344
2,4,97.0,52,2130,24.6,1982,vw pickup,18.70632312693197
1,4,135.0,84,2295,11.6,1982,dodge rampage,13.604598637768705
1,4,120.0,79,2625,18.6,1982,ford ranger,11.904023808047617
1,4,119.0,82,2720,19.4,1982,chevy s-10,13.179454930338432
